# DFT Ca²⁺/Ln³⁺ discriminator — Ln-class hits (ΔΔE ≥ +5 kcal/mol), enriched with spicy_lams Sharur DB annotations
rank	stem	source	iptm	n_atoms	ddE_kcal	class	spicy_class	pfam	ko	novel	length_aa	bin_id	gene_id	fp_note	cif_path	workspace_path
155	03_Euk_a0a9p4xub3_domain1chaina-pqq-la_model	unknown	-		+11.33	Ln-preferring	-	-	-	-	-	-	-			
156	03_Euk_a0a498hd21_domain1chaina-pqq-la_model	unknown	-		+11.29	Ln-preferring	-	-	-	-	-	-	-			
157	NC_014313_1_1306_iptm0_986_s0	spicylams	0.986		+11.24	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	609	GCF_000143145.1_ASM14314v1_genomic	NC_014313.1_1306			
158	NZ_CP041656_2_2062_iptm0_990_s0	spicylams	0.990		+11.22	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_007290395.2_ASM729039v2_genomic	NZ_CP041656.2_2062			
159	03_Euk_a0aae0ix53_domain1chaina-pqq-la_model	unknown	-		+11.20	Ln-preferring	-	-	-	-	-	-	-			
160	NZ_JACOFQ010000002_1_217_iptm0_990_s0	spicylams	0.990		+11.18	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_019455395.1_ASM1945539v1_genomic	NZ_JACOFQ010000002.1_217			
161	03_Euk_a0a420y6j0_domain1chaina-pqq-la_model	unknown	-		+11.16	Ln-preferring	-	-	-	-	-	-	-			
162	03_Euk_a0aae0n2m5_domain1chaina-pqq-la_model	unknown	-		+11.08	Ln-preferring	-	-	-	-	-	-	-			
163	lanmfusion_NZ_LFLZ	vault_panel	-		+11.00	Ln-preferring	-	-	-	-	-	-	-			
164	A0A0P6Z0V4_methylosinus	colin_extras	-		+11.00	Ln-preferring	-	-	-	-	-	-	-			
165	NZ_LFJB01000074_1_27_iptm0_990_s0	spicylams	0.990		+10.98	Ln-preferring	-	-	-	-	-	-	-			
166	NZ_JAIRDQ010000001_1_964_iptm0_991_s0	spicylams	0.991		+10.92	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_021458635.1_ASM2145863v1_genomic	NZ_JAIRDQ010000001.1_964			
167	NZ_JADPKR010000114_1_107_iptm0_990_s0	spicylams	0.990		+10.88	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023074055.1_ASM2307405v1_genomic	NZ_JADPKR010000114.1_107			
168	NZ_JACCHP010000004_1_195_iptm0_990_s0	spicylams	0.990		+10.85	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_016031625.1_ASM1603162v1_genomic	NZ_JACCHP010000004.1_195			
169	03_Euk_a0a6a6ugb5_domain1chaina-pqq-la_model	unknown	-		+10.66	Ln-preferring	-	-	-	-	-	-	-			
170	Q2JD03_frankia	colin_extras	-		+10.63	Ln-preferring	-	-	-	-	-	-	-			
171	NZ_PSRR01000126_1_8_iptm0_990_s0	spicylams	0.990		+10.61	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_004296405.1_ASM429640v1_genomic	NZ_PSRR01000126.1_8			
172	calexcitin	vault_panel	-		+10.59	Ln-preferring	-	-	-	-	-	-	-			
173	NZ_JAFCKP010000020_1_66_iptm0_990_s0	spicylams	0.990		+10.53	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_018130245.1_ASM1813024v1_genomic	NZ_JAFCKP010000020.1_66			
174	A0A937RKB4_frankia	colin_extras	-		+10.53	Ln-preferring	-	-	-	-	-	-	-			
175	NZ_JAKLTY010000003_1_178_iptm0_990_s0	spicylams	0.990		+10.51	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_022012485.1_ASM2201248v1_genomic	NZ_JAKLTY010000003.1_178			
176	NZ_LGHM01000118_1_20_iptm0_991_s0	spicylams	0.991		+10.48	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_001908185.1_ASM190818v1_genomic	NZ_LGHM01000118.1_20			
177	C5CIA3_bryobacter	colin_extras	-		+10.42	FALSE_POSITIVE (Ln-preferring)	-	-	-	-	-	-	-	Rubrerythrin / bacterioferritin family — diiron (Fe-Fe) site, not Ln. Discriminator pulls CN=8 with 4 Glu (GLU15/44/108/135) but only GLU44 (2.37+2.66) and GLU135 (2.48+2.54) are truly bidentate first-shell; GLU15 and GLU108 sit at 3.2-3.5 Å, i.e. the second Fe pocket of the binuclear site. La cramming into a binuclear Fe-Fe pocket gives 2 short + 2 long Glu, ΔΔE = +10.4 kcal/mol. Same FP class as VIT1 / Zn-site: 'high-charge cation pocket with 2 bridging Glu' that diiron, di-Mn, and Ln³⁺ all match geometrically — biology context (Pfam:Rubrerythrin / Bacterioferritin) is needed to filter out.		
178	03_Euk_a0aae0nge8_domain1chaina-pqq-la_model	unknown	-		+10.39	Ln-preferring	-	-	-	-	-	-	-			
179	JACMOT010000131_1_6_iptm0_989_s0	spicylams	0.989		+10.30	Ln-preferring	DUF4394	DUF4394	-	1	261	GCA_014377915.1_ASM1437791v1_genomic	JACMOT010000131.1_6			
180	C5CIJ8_bryobacter	colin_extras	-		+10.16	Ln-preferring	-	-	-	-	-	-	-			
181	NZ_JALBHA010000014_1_25_iptm0_991_s0	spicylams	0.991		+10.15	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023006445.1_ASM2300644v1_genomic	NZ_JALBHA010000014.1_25			
182	rtxbroll_A0A3M2BIM9	vault_panel	-		+10.11	Ln-preferring	-	-	-	-	-	-	-			
183	calcineurinB_A0A8T2R3R7	vault_panel	-		+10.10	Ln-preferring	-	-	-	-	-	-	-			
184	NZ_SPQT01000017_1_113_iptm0_986_s0	spicylams	0.986		+10.10	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	604	GCF_004571025.1_ASM457102v1_genomic	NZ_SPQT01000017.1_113			
185	NZ_WVUF01000003_1_61_iptm0_990_s0	spicylams	0.990		+10.10	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_017614905.1_ASM1761490v1_genomic	NZ_WVUF01000003.1_61			
186	NZ_JADPKK010000023_1_345_iptm0_990_s0	spicylams	0.990		+10.08	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023073915.1_ASM2307391v1_genomic	NZ_JADPKK010000023.1_345			
187	NZ_VSSR01000081_1_64_iptm0_991_s0	spicylams	0.991		+10.00	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_008123515.1_ASM812351v1_genomic	NZ_VSSR01000081.1_64			
188	typeAorphan_NZ_JADPKR	vault_panel	-		+9.92	Ln-preferring	-	-	-	-	-	-	-			
189	A0A1H1NKW3_actinobacteriota	colin_extras	-		+9.90	Ln-preferring	-	-	-	-	-	-	-			
190	NZ_LUUM01000248_1_5_iptm0_925_s0	spicylams	0.925		+9.86	Ln-preferring	unannotated	-	-	1	376	GCF_001644125.1_ASM164412v1_genomic	NZ_LUUM01000248.1_5			
191	03_Euk_a0a175wb53_domain1chaina-pqq-la_model	unknown	-		+9.78	Ln-preferring	-	-	-	-	-	-	-			
192	colinpqq_la_c5axv8_pqq_la_model	colin_la_verified	-		+9.75	Ln-preferring	-	-	-	-	-	-	-			
193	NZ_JADNQW010000005_1_1063_iptm0_910_s0	spicylams	0.910		+9.70	Ln-preferring	unannotated	-	-	1	340	GCF_015709455.1_ASM1570945v1_genomic	NZ_JADNQW010000005.1_1063			
194	NZ_PSRS01000033_1_36_iptm0_982_s0	spicylams	0.982		+9.67	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	576	GCF_004212675.1_ASM421267v1_genomic	NZ_PSRS01000033.1_36			
195	NZ_PYFX01000022_1_46_iptm0_966_s0	spicylams	0.966		+9.67	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_003020115.1_ASM302011v1_genomic	NZ_PYFX01000022.1_46			
196	NZ_LMNG01000013_1_17_iptm0_959_s0	spicylams	0.959		+9.66	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	389	GCF_001423295.1_Leaf112_genomic	NZ_LMNG01000013.1_17			
197	C1F918_acidobacterium	unknown	-		+9.66	Ln-preferring	-	-	-	-	-	-	-			
198	NZ_VRUW01000024_1_49_iptm0_989_s0	spicylams	0.989		+9.62	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_008039475.1_ASM803947v1_genomic	NZ_VRUW01000024.1_49			
199	NZ_JAHBGE010000013_1_26_iptm0_973_s0	spicylams	0.973		+9.56	Ln-preferring	PQQ_other	PQQ,PQQ_2	K00117	0	771	GCF_018390635.1_ASM1839063v1_genomic	NZ_JAHBGE010000013.1_26			
200	NZ_DF820425_1_6134_iptm0_990_s0	spicylams	0.990		+9.50	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000617845.2_ASM61784v2_genomic	NZ_DF820425.1_6134			
201	D3F1U8_conexibacter	unknown	-		+9.44	Ln-preferring	-	-	-	-	-	-	-			
202	03_Euk_a0a814puq6_domain1chaina-pqq-la_model	unknown	-		+9.42	Ln-preferring	-	-	-	-	-	-	-			
203	NZ_JADPKS010000078_1_42_iptm0_991_s0	spicylams	0.991		+9.40	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	603	GCF_023074175.1_ASM2307417v1_genomic	NZ_JADPKS010000078.1_42			
204	03_Euk_a0a8s0wv60_domain1chaina-pqq-la_model	unknown	-		+9.39	Ln-preferring	-	-	-	-	-	-	-			
205	A0A6H1Q0V3_pelagibacter	colin_extras	-		+9.32	Ln-preferring	-	-	-	-	-	-	-			
206	NZ_JADPKA010000066_1_202_iptm0_990_s0	spicylams	0.990		+9.31	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_023073715.1_ASM2307371v1_genomic	NZ_JADPKA010000066.1_202			
207	NZ_CP147717_1_5459_iptm0_980_s0	spicylams	0.980		+9.10	Ln-preferring	unannotated	-	-	1	556	GCF_011516625.5_ASM1151662v5_genomic	NZ_CP147717.1_5459			
208	NZ_LVYV01000005_1_62_iptm0_991_s0	spicylams	0.991		+9.05	Ln-preferring	DUF4394	DUF4394	-	1	258	GCF_001618955.1_ASM161895v1_genomic	NZ_LVYV01000005.1_62			
209	03_Euk_a0a2k3cp49_domain1chaina-pqq-la_model	unknown	-		+9.04	Ln-preferring	-	-	-	-	-	-	-			
210	C1F758_acidobacterium	unknown	-		+9.01	Ln-preferring	-	-	-	-	-	-	-			
211	NZ_LJYG01000094_1_69_iptm0_990_s0	spicylams	0.990		+9.00	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_001440035.1_ABySSBR3351v1_genomic	NZ_LJYG01000094.1_69			
212	03_Euk_g2rd34_domain1chaina-pqq-la_model	unknown	-		+8.86	Ln-preferring	-	-	-	-	-	-	-			
213	NZ_CM001442_1_5510_iptm0_991_s0	spicylams	0.991		+8.85	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000244915.1_ASM24491v1_genomic	NZ_CM001442.1_5510			
214	A0A7V4XQ19_acidobacterium	colin_extras	-		+8.83	Ln-preferring	-	-	-	-	-	-	-			
215	03_Euk_a0a9w4ss10_domain1chaina-pqq-la_model	unknown	-		+8.70	Ln-preferring	-	-	-	-	-	-	-			
216	NZ_CP030059_1_5248_iptm0_968_s0	spicylams	0.968		+8.65	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_015291745.1_ASM1529174v1_genomic	NZ_CP030059.1_5248			
217	A0A109BCK6_hyphomicrobium	colin_extras	-		+8.63	Ln-preferring	-	-	-	-	-	-	-			
218	rifoxy_LaHem_control	vault_panel	-		+8.60	Ln-preferring	-	-	-	-	-	-	-			
219	NZ_CP030053_1_2043_iptm0_990_s0	spicylams	0.990		+8.60	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_004114955.1_ASM411495v1_genomic	NZ_CP030053.1_2043			
220	NZ_BPQI01000118_1_36_iptm0_953_s0	spicylams	0.953		+8.55	FALSE_POSITIVE (Ln-preferring)	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	383	GCF_022179165.1_ASM2217916v1_genomic	NZ_BPQI01000118.1_36	Zn binding site, geometry near-identical to PDB Zn-site reference. Discriminator confused on a 4-Asp/His-poor cluster that resembles XoxF coordination by accident.		
221	A0A231H7B4_actinobacteriota	colin_extras	-		+8.51	Ln-preferring	-	-	-	-	-	-	-			
222	03_Euk_a0a5j5al41_domain2chaina-pqq-la_model	unknown	-		+8.47	Ln-preferring	-	-	-	-	-	-	-			
223	03_Euk_a0aae0jcm1_domain1chaina-pqq-la_model	unknown	-		+8.46	Ln-preferring	-	-	-	-	-	-	-			
224	00_Lav_a0a3f2yly8-pqq-la_model	unknown	-		+8.42	Ln-preferring	-	-	-	-	-	-	-			
225	03_Euk_a0a401tze9_domain1chaina-pqq-la_model	unknown	-		+8.42	Ln-preferring	-	-	-	-	-	-	-			
226	A9B0Y3_methylosinus	unknown	-		+8.42	Ln-preferring	-	-	-	-	-	-	-			
227	arginase_A0A6N9AP46	vault_panel	-		+8.32	Ln-preferring	-	-	-	-	-	-	-			
228	droideka_siteE	colin_droideka	-		+8.29	Ln-preferring	-	-	-	-	-	-	-			
229	NZ_CP064686_1_5355_iptm0_972_s0	spicylams	0.972		+8.25	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_023100905.1_ASM2310090v1_genomic	NZ_CP064686.1_5355			
230	droideka_siteF	colin_droideka	-		+8.24	Ln-preferring	-	-	-	-	-	-	-			
231	NZ_AUGD01000012_1_167_iptm0_975_s0	spicylams	0.975		+8.21	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_000426845.1_ASM42684v1_genomic	NZ_AUGD01000012.1_167			
232	03_Euk_a0a517kzf6_domain1chaina-pqq-la_model	unknown	-		+8.16	Ln-preferring	-	-	-	-	-	-	-			
233	C1F3A8_acidobacterium	unknown	-		+8.08	Ln-preferring	-	-	-	-	-	-	-			
234	NZ_NKUG01000130_1_3_iptm0_940_s0	spicylams	0.940		+8.03	Ln-preferring	M20_amidohydrolase	Peptidase_M20	K06016	0	419	GCF_014845095.1_ASM1484509v1_genomic	NZ_NKUG01000130.1_3			
235	NZ_CP059398_1_1379_iptm0_990_s0	spicylams	0.990		+7.94	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_022354745.1_ASM2235474v1_genomic	NZ_CP059398.1_1379			
236	QHBR01000279_1_12_iptm0_872_s0	spicylams	0.872		+7.88	Ln-preferring	other_polyprenyl_synt	polyprenyl_synt	K00795	1	311	GCA_003244015.1_ASM324401v1_genomic	QHBR01000279.1_12			
237	NZ_LBJC01000027_1_108_iptm0_990_s0	spicylams	0.990		+7.87	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	601	GCF_004114535.1_ASM411453v1_genomic	NZ_LBJC01000027.1_108			
238	marco_NZ_CP030053_1_2053_4thHomolog	vault_panel	-		+7.85	Ln-preferring	-	-	-	-	-	-	-			
239	NZ_JACCHQ010000010_1_113_iptm0_969_s0	spicylams	0.969		+7.81	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_016031655.1_ASM1603165v1_genomic	NZ_JACCHQ010000010.1_113			
240	NZ_NPKQ01000003_1_263_iptm0_991_s0	spicylams	0.991		+7.80	Ln-preferring	DUF4394	DUF4394	-	1	259	GCF_008329525.1_ASM832952v1_genomic	NZ_NPKQ01000003.1_263			
241	03_Euk_a0a9p4m5q3_domain1chaina-pqq-la_model	unknown	-		+7.77	Ln-preferring	-	-	-	-	-	-	-			
242	marco_cp030053_2053	vault_panel	-		+7.76	Ln-preferring	-	-	-	-	-	-	-			
243	NZ_CP030053_1_2053_iptm0_972_s0	spicylams	0.972		+7.75	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_004114955.1_ASM411495v1_genomic	NZ_CP030053.1_2053			
244	fernparv_A0A8T2SI74	vault_panel	-		+7.66	Ln-preferring	-	-	-	-	-	-	-			
245	NZ_JAKSXV010000062_1_38_iptm0_956_s0	spicylams	0.956		+7.66	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	389	GCF_022829345.1_ASM2282934v1_genomic	NZ_JAKSXV010000062.1_38			
246	NZ_VMOA01000074_1_9_iptm0_939_s0	spicylams	0.939		+7.64	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K06016	0	419	GCF_020662345.1_ASM2066234v1_genomic	NZ_VMOA01000074.1_9			
247	03_Euk_a0a9p4nxs7_domain1chaina-pqq-la_model	unknown	-		+7.64	Ln-preferring	-	-	-	-	-	-	-			
248	A0A937RC43_frankia	colin_extras	-		+7.62	Ln-preferring	-	-	-	-	-	-	-			
249	03_Euk_a0a6p4i6k3_domain1_contigchaina-pqq-la_model	unknown	-		+7.60	Ln-preferring	-	-	-	-	-	-	-			
250	NC_010511_1_4382_iptm0_949_s0	spicylams	0.949		+7.58	Ln-preferring	CcmF_heme_biogenesis	CcmF_C,Cytochrom_C_asm	K02198	1	661	GCF_000019365.1_ASM1936v1_genomic	NC_010511.1_4382			
251	NZ_LNCU01000098_1_144_iptm0_973_s0	spicylams	0.973		+7.58	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_001542415.1_ASM154241v1_genomic	NZ_LNCU01000098.1_144			
252	A0A124I7G3_actinobacteriota	colin_extras	-		+7.57	Ln-preferring	-	-	-	-	-	-	-			
253	Q2JFT7_frankia	colin_extras	-		+7.55	Ln-preferring	-	-	-	-	-	-	-			
254	03_Euk_a0aad8ide3_domain1_contigchaina-pqq-la_model	unknown	-		+7.54	Ln-preferring	-	-	-	-	-	-	-			
255	03_Euk_a0a9n8pqv6_domain1chaina-pqq-la_model	unknown	-		+7.47	Ln-preferring	-	-	-	-	-	-	-			
256	03_Euk_a0a1v8u0b7_domain3chaina-pqq-la_model	unknown	-		+7.46	Ln-preferring	-	-	-	-	-	-	-			
257	NZ_CP029426_2_4943_iptm0_991_s0	spicylams	0.991		+7.44	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_002266435.3_ASM226643v3_genomic	NZ_CP029426.2_4943			
258	NZ_JAFCJN010000019_1_123_iptm0_969_s0	spicylams	0.969		+7.43	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_018130945.1_ASM1813094v1_genomic	NZ_JAFCJN010000019.1_123			
259	A0A937UQ24_frankia	colin_extras	-		+7.43	Ln-preferring	-	-	-	-	-	-	-			
260	03_Euk_a0a6g1i661_domain1chaina-pqq-la_model	unknown	-		+7.42	Ln-preferring	-	-	-	-	-	-	-			
261	03_Euk_a0a9d4z8i3_domain1chaina-pqq-la_model	unknown	-		+7.39	Ln-preferring	-	-	-	-	-	-	-			
262	NZ_CP059398_1_1369_iptm0_966_s0	spicylams	0.966		+7.37	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_022354745.1_ASM2235474v1_genomic	NZ_CP059398.1_1369			
263	03_Euk_a0a3e2het7_domain1chaina-pqq-la_model	unknown	-		+7.37	Ln-preferring	-	-	-	-	-	-	-			
264	NZ_JAENXS010000001_1_42_iptm0_991_s0	spicylams	0.991		+7.33	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_016612535.1_ASM1661253v1_genomic	NZ_JAENXS010000001.1_42			
265	NZ_AXAP01000005_1_97_iptm0_991_s0	spicylams	0.991		+7.32	Ln-preferring	xoxF_K23995	PQQ,PQQ_2	K23995	0	602	GCF_000472865.1_ASM47286v1_genomic	NZ_AXAP01000005.1_97			
266	NZ_LMMW01000008_1_2_iptm0_927_s0	spicylams	0.927		+7.22	Ln-preferring	other_LRR_8	LRR_8	-	1	453	GCF_001422845.1_Leaf100_genomic	NZ_LMMW01000008.1_2			
267	03_Euk_a0a433de34_domain1chaina-pqq-la_model	unknown	-		+7.22	Ln-preferring	-	-	-	-	-	-	-			
268	03_Euk_d8qwe5_domain1chaina-pqq-la_model	unknown	-		+7.18	Ln-preferring	-	-	-	-	-	-	-			
269	gcamp3_A0A8T2TQ84	vault_panel	-		+7.08	Ln-preferring	-	-	-	-	-	-	-			
270	NZ_JAENXS010000001_1_33_iptm0_972_s0	spicylams	0.972		+7.07	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_016612535.1_ASM1661253v1_genomic	NZ_JAENXS010000001.1_33			
271	A0A1I4S9U0_actinobacteriota	colin_extras	-		+7.07	Ln-preferring	-	-	-	-	-	-	-			
272	Q0RS34_frankia	colin_extras	-		+7.04	Ln-preferring	-	-	-	-	-	-	-			
273	NZ_FRXO01000001_1_34_iptm0_948_s0	spicylams	0.948		+6.95	Ln-preferring	unannotated	-	-	1	206	GCF_900148505.1_IMG-taxon_2585428043_annotated_assembly_genomic	NZ_FRXO01000001.1_34			
274	NZ_JADPKT010000084_1_241_iptm0_971_s0	spicylams	0.971		+6.93	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_023074075.1_ASM2307407v1_genomic	NZ_JADPKT010000084.1_241			
275	NZ_JADPJG010000023_1_42_iptm0_966_s0	spicylams	0.966		+6.93	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_023073335.1_ASM2307333v1_genomic	NZ_JADPJG010000023.1_42			
276	A0A2I2L1I7_frankia	colin_extras	-		+6.92	Ln-preferring	-	-	-	-	-	-	-			
277	D3F5Q0_conexibacter	unknown	-		+6.89	Ln-preferring	-	-	-	-	-	-	-			
278	NZ_LUUB01000038_1_94_iptm0_973_s0	spicylams	0.973		+6.88	Ln-preferring	small_unannotated_candidate_marco	-	-	1	117	GCF_001641635.1_ASM164163v1_genomic	NZ_LUUB01000038.1_94			
279	NZ_NWTG01000021_1_16_iptm0_970_s0	spicylams	0.970		+6.85	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_002532045.1_ASM253204v1_genomic	NZ_NWTG01000021.1_16			
280	NZ_LMMW01000023_1_239_iptm0_958_s0	spicylams	0.958		+6.81	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	389	GCF_001422845.1_Leaf100_genomic	NZ_LMMW01000023.1_239			
281	NZ_NAEX01000176_1_125_iptm0_972_s0	spicylams	0.972		+6.79	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_002108675.1_ASM210867v1_genomic	NZ_NAEX01000176.1_125			
282	NZ_CP050022_2_5499_iptm0_973_s0	spicylams	0.973		+6.77	Ln-preferring	small_unannotated_candidate_marco	-	-	1	126	GCF_011602485.2_ASM1160248v2_genomic	NZ_CP050022.2_5499			
283	NZ_DF820425_1_6126_iptm0_973_s0	spicylams	0.973		+6.76	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_000617845.2_ASM61784v2_genomic	NZ_DF820425.1_6126			
284	NZ_JADPKA010000066_1_196_iptm0_965_s0	spicylams	0.965		+6.75	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_023073715.1_ASM2307371v1_genomic	NZ_JADPKA010000066.1_196			
285	NZ_LVEM01000003_1_376_iptm0_971_s0	spicylams	0.971		+6.69	Ln-preferring	small_unannotated_candidate_marco	-	-	1	116	GCF_001641335.1_ASM164133v1_genomic	NZ_LVEM01000003.1_376			
286	03_Euk_a0a5n6pfi5_domain2chaina-pqq-la_model	unknown	-		+6.66	Ln-preferring	-	-	-	-	-	-	-			
287	marcobetar_NZ_CP019948	vault_panel	-		+6.64	Ln-preferring	-	-	-	-	-	-	-			
288	NZ_CP088008_1_3919_iptm0_990_s0	spicylams	0.990		+6.64	Ln-preferring	DUF4394	DUF4394	-	1	259	GCF_021044645.1_ASM2104464v1_genomic	NZ_CP088008.1_3919			
289	NZ_JACIDR010000005_1_26_iptm0_932_s0	spicylams	0.932		+6.64	Ln-preferring	other_FumaraseC_C	FumaraseC_C,Lyase_1	K01744	1	487	GCF_014196425.1_ASM1419642v1_genomic	NZ_JACIDR010000005.1_26			
290	NZ_VKHP01000184_1_20_iptm0_970_s0	spicylams	0.970		+6.62	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_010811875.1_ASM1081187v1_genomic	NZ_VKHP01000184.1_20			
291	03_Euk_a0a8t0grr4_domain1chaina-pqq-la_model	unknown	-		+6.62	Ln-preferring	-	-	-	-	-	-	-			
292	NZ_SPQT01000017_1_104_iptm0_863_s0	spicylams	0.863		+6.61	Ln-preferring	unannotated	-	-	1	302	GCF_004571025.1_ASM457102v1_genomic	NZ_SPQT01000017.1_104			
293	NZ_CP019948_1_943_iptm0_969_s0	spicylams	0.969		+6.59	Ln-preferring	small_unannotated_candidate_marco	-	-	1	114	GCF_002117405.1_ASM211740v1_genomic	NZ_CP019948.1_943			
294	NZ_CP030048_1_2139_iptm0_972_s0	spicylams	0.972		+6.58	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_015291665.1_ASM1529166v1_genomic	NZ_CP030048.1_2139			
295	NZ_LJYE01000109_1_170_iptm0_975_s0	spicylams	0.975		+6.54	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_001440015.1_BR3262k88v1_genomic	NZ_LJYE01000109.1_170			
296	NZ_PSRR01000126_1_2_iptm0_981_s0	spicylams	0.981		+6.51	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	576	GCF_004296405.1_ASM429640v1_genomic	NZ_PSRR01000126.1_2			
297	NZ_LGHK01000016_1_47_iptm0_968_s0	spicylams	0.968		+6.50	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_001908235.1_ASM190823v1_genomic	NZ_LGHK01000016.1_47			
298	NZ_CABFPH010000154_1_5_iptm0_953_s0	spicylams	0.953		+6.46	Ln-preferring	M20_amidohydrolase	M20_dimer,Peptidase_M20	K01438	0	383	GCF_902141845.1_CECT_9862_genomic	NZ_CABFPH010000154.1_5			
299	NZ_VLLA01000010_1_77_iptm0_964_s0	spicylams	0.964		+6.46	Ln-preferring	xoxF_K00114_subfamily	PQQ,PQQ_2	K00114	0	555	GCF_007830635.1_ASM783063v1_genomic	NZ_VLLA01000010.1_77			
300	A0A7V4XSM2_acidobacterium	colin_extras	-		+6.45	Ln-preferring	-	-	-	-	-	-	-			
301	03_Euk_a0a6p6tc78_domain1chaina-pqq-la_model	unknown	-		+6.43	Ln-preferring	-	-	-	-	-	-	-			
302	NZ_JYMT01000035_1_133_iptm0_973_s0	spicylams	0.973		+6.39	Ln-preferring	small_unannotated_candidate_marco	-	-	1	118	GCF_000938305.1_ASM93830v1_genomic	NZ_JYMT01000035.1_133			
303	NC_011894_1_4113_iptm0_950_s0	spicylams	0.950		+6.34	Ln-preferring	CcmF_heme_biogenesis	CcmF_C,Cytochrom_C_asm	K02198	1	665	GCF_000022085.1_ASM2208v1_genomic	NC_011894.1_4113			
304	03_Euk_m1c559_domain2chaina-pqq-la_model	unknown	-		+6.34	Ln-preferring	-	-	-	-	-	-	-			
305	A0A840IIQ0_conexibacter	colin_extras	-		+6.21	Ln-preferring	-	-	-	-	-	-	-			
306	droideka_siteG	colin_droideka	-		+6.20	Ln-preferring	-	-	-	-	-	-	-			
