# DFT Ca²⁺/Ln³⁺ discriminator — auto-generated
# E_aquo_Ca − E_aquo_La = -646.064556 Ha (= -405411.65 kcal/mol)
# ΔΔE(Ca − La) = (E_holo_Ca − E_holo_La) − (E_aquo_Ca − E_aquo_La)
# Class: Ln-evolved ≥ +20; Ln-preferring +5 to +20; marginal 0 to +5; ambiguous -5 to 0; Ca-evolved < -5
stem	n_atoms	E_La	E_Ca	E_apo	E_water	ddE_kcal	class
NZ_CP147717_1_5459_iptm0_980_s0	34	-965.607787	-1611.657836	-934.115950	-76.428549	+9.10	Ln-preferring
NZ_LVYV01000005_1_62_iptm0_991_s0	22	-717.172870	-1363.223003	-685.729542	-76.428549	+9.05	Ln-preferring
03_Euk_a0a2k3cp49_domain1chaina-pqq-la_model	58	-2210.235510	-2856.285658	-2178.702682	-76.428549	+9.04	Ln-preferring
C1F758_acidobacterium	28	-795.701705	-1441.751907	-764.259789	-76.428549	+9.01	Ln-preferring
NZ_LJYG01000094_1_69_iptm0_990_s0	34	-965.621773	-1611.671978	-934.140413	-76.428549	+9.00	Ln-preferring
03_Euk_g2rd34_domain1chaina-pqq-la_model	58	-2210.225455	-2856.275884	-2178.685393	-76.428549	+8.86	Ln-preferring
NZ_CM001442_1_5510_iptm0_991_s0	34	-965.442931	-1611.493386	-933.957830	-76.428549	+8.85	Ln-preferring
A0A7V4XQ19_acidobacterium	28	-795.526828	-1441.577317	-764.145027	-76.428549	+8.83	Ln-preferring
03_Euk_a0a9w4ss10_domain1chaina-pqq-la_model	58	-2210.249570	-2856.300259	-2178.716013	-76.428549	+8.70	Ln-preferring
NZ_CP030059_1_5248_iptm0_968_s0	34	-965.601650	-1611.652423	-934.125889	-76.428549	+8.65	Ln-preferring
A0A109BCK6_hyphomicrobium	21	-604.035130	-1250.085934	-572.650645	-76.428549	+8.63	Ln-preferring
rifoxy_LaHem_control	41	-1194.056436	-1840.107282	-1162.587741	-76.428549	+8.60	Ln-preferring
NZ_CP030053_1_2043_iptm0_990_s0	34	-965.455853	-1611.506703	-933.976919	-76.428549	+8.60	Ln-preferring
NZ_BPQI01000118_1_36_iptm0_953_s0	38	-1063.582106	-1709.633031	-1032.123984	-76.428549	+8.55	Ln-preferring
A0A231H7B4_actinobacteriota	32	-985.036328	-1631.087325	-953.549992	-76.428549	+8.51	Ln-preferring
03_Euk_a0a5j5al41_domain2chaina-pqq-la_model	58	-2210.282934	-2856.333992	-2178.743316	-76.428549	+8.47	Ln-preferring
03_Euk_a0aae0jcm1_domain1chaina-pqq-la_model	58	-2210.217040	-2856.268109	-2178.677358	-76.428549	+8.46	Ln-preferring
00_Lav_a0a3f2yly8-pqq-la_model	58	-2210.272338	-2856.323468	-2178.777127	-76.428549	+8.42	Ln-preferring
03_Euk_a0a401tze9_domain1chaina-pqq-la_model	58	-2210.222382	-2856.273525	-2178.691143	-76.428549	+8.42	Ln-preferring
A9B0Y3_methylosinus	42	-1194.292875	-1840.344018	-1162.837713	-76.428549	+8.42	Ln-preferring
arginase_A0A6N9AP46	22	-717.185290	-1363.236593	-685.731170	-76.428549	+8.32	Ln-preferring
droideka_siteE	29	-945.724129	-1591.775476	-914.310251	-76.428549	+8.29	Ln-preferring
NZ_CP064686_1_5355_iptm0_972_s0	35	-1024.259637	-1670.311044	-992.803450	-76.428549	+8.25	Ln-preferring
droideka_siteF	29	-945.722151	-1591.773577	-914.319508	-76.428549	+8.24	Ln-preferring
NZ_AUGD01000012_1_167_iptm0_975_s0	34	-965.585216	-1611.636692	-934.104343	-76.428549	+8.21	Ln-preferring
03_Euk_a0a517kzf6_domain1chaina-pqq-la_model	58	-2210.256331	-2856.307890	-2178.720756	-76.428549	+8.16	Ln-preferring
C1F3A8_acidobacterium	22	-717.157260	-1363.208936	-685.728195	-76.428549	+8.08	Ln-preferring
NZ_NKUG01000130_1_3_iptm0_940_s0	28	-795.691799	-1441.743566	-764.299818	-76.428549	+8.03	Ln-preferring
NZ_CP059398_1_1379_iptm0_990_s0	34	-965.616997	-1611.668894	-934.135641	-76.428549	+7.94	Ln-preferring
QHBR01000279_1_12_iptm0_872_s0	15	-488.525353	-1134.577352	-457.134429	-76.428549	+7.88	Ln-preferring
NZ_LBJC01000027_1_108_iptm0_990_s0	34	-965.426185	-1611.478202	-933.943020	-76.428549	+7.87	Ln-preferring
marco_NZ_CP030053_1_2053_4thHomolog	35	-1024.273065	-1670.325113	-992.813842	-76.428549	+7.85	Ln-preferring
NZ_JACCHQ010000010_1_113_iptm0_969_s0	35	-1024.267310	-1670.319423	-992.808584	-76.428549	+7.81	Ln-preferring
NZ_NPKQ01000003_1_263_iptm0_991_s0	22	-717.161253	-1363.213381	-685.721710	-76.428549	+7.80	Ln-preferring
03_Euk_a0a9p4m5q3_domain1chaina-pqq-la_model	58	-2210.241036	-2856.293207	-2178.701548	-76.428549	+7.77	Ln-preferring
marco_cp030053_2053	35	-1024.275897	-1670.328093	-992.817013	-76.428549	+7.76	Ln-preferring
NZ_CP030053_1_2053_iptm0_972_s0	35	-1024.265723	-1670.317929	-992.806946	-76.428549	+7.75	Ln-preferring
NZ_JAKSXV010000062_1_38_iptm0_956_s0	38	-1063.590244	-1709.642586	-1032.132957	-76.428549	+7.66	Ln-preferring
fernparv_A0A8T2SI74	34	-965.631464	-1611.683819	-934.149794	-76.428549	+7.66	Ln-preferring
03_Euk_a0a9p4nxs7_domain1chaina-pqq-la_model	58	-2210.130985	-2856.183364	-2178.633458	-76.428549	+7.64	Ln-preferring
NZ_VMOA01000074_1_9_iptm0_939_s0	18	-527.778174	-1173.830557	-496.397444	-76.428549	+7.64	Ln-preferring
A0A937RC43_frankia	25	-756.333168	-1402.385582	-724.901436	-76.428549	+7.62	Ln-preferring
03_Euk_a0a6p4i6k3_domain1_contigchaina-pqq-la_model	46	-1961.709823	-2607.762264	-1930.212733	-76.428549	+7.60	Ln-preferring
NZ_LNCU01000098_1_144_iptm0_973_s0	35	-1024.265379	-1670.317857	-992.804798	-76.428549	+7.58	Ln-preferring
NC_010511_1_4382_iptm0_949_s0	28	-795.714156	-1441.766639	-764.293940	-76.428549	+7.58	Ln-preferring
A0A124I7G3_actinobacteriota	18	-527.776222	-1173.828722	-496.391412	-76.428549	+7.57	Ln-preferring
Q2JFT7_frankia	32	-985.001421	-1631.053953	-953.525514	-76.428549	+7.55	Ln-preferring
03_Euk_a0aad8ide3_domain1_contigchaina-pqq-la_model	58	-2210.179125	-2856.231657	-2178.659640	-76.428549	+7.54	Ln-preferring
03_Euk_a0a9n8pqv6_domain1chaina-pqq-la_model	58	-2210.266778	-2856.319422	-2178.760369	-76.428549	+7.47	Ln-preferring
03_Euk_a0a1v8u0b7_domain3chaina-pqq-la_model	58	-2210.237434	-2856.290102	-2178.750294	-76.428549	+7.46	Ln-preferring
NZ_CP029426_2_4943_iptm0_991_s0	34	-965.455097	-1611.507798	-933.979300	-76.428549	+7.44	Ln-preferring
A0A937UQ24_frankia	32	-984.993979	-1631.046688	-953.530532	-76.428549	+7.43	Ln-preferring
NZ_JAFCJN010000019_1_123_iptm0_969_s0	35	-1024.265231	-1670.317947	-992.805547	-76.428549	+7.43	Ln-preferring
03_Euk_a0a6g1i661_domain1chaina-pqq-la_model	58	-2210.242902	-2856.295640	-2178.724063	-76.428549	+7.42	Ln-preferring
03_Euk_a0a9d4z8i3_domain1chaina-pqq-la_model	58	-2210.299599	-2856.352380	-2178.775052	-76.428549	+7.39	Ln-preferring
03_Euk_a0a3e2het7_domain1chaina-pqq-la_model	58	-2210.227911	-2856.280717	-2178.692668	-76.428549	+7.37	Ln-preferring
NZ_CP059398_1_1369_iptm0_966_s0	35	-1024.256881	-1670.309694	-992.794092	-76.428549	+7.37	Ln-preferring
NZ_JAENXS010000001_1_42_iptm0_991_s0	34	-965.313682	-1611.366560	-933.842088	-76.428549	+7.33	Ln-preferring
NZ_AXAP01000005_1_97_iptm0_991_s0	34	-965.613881	-1611.666775	-934.133861	-76.428549	+7.32	Ln-preferring
NZ_LMMW01000008_1_2_iptm0_927_s0	22	-717.096323	-1363.149371	-685.710505	-76.428549	+7.22	Ln-preferring
03_Euk_a0a433de34_domain1chaina-pqq-la_model	58	-2210.273218	-2856.326275	-2178.752058	-76.428549	+7.22	Ln-preferring
03_Euk_d8qwe5_domain1chaina-pqq-la_model	58	-2210.258548	-2856.311668	-2178.723436	-76.428549	+7.18	Ln-preferring
gcamp3_A0A8T2TQ84	34	-965.552118	-1611.605384	-934.068812	-76.428549	+7.08	Ln-preferring
A0A1I4S9U0_actinobacteriota	15	-488.505264	-1134.558552	-457.138781	-76.428549	+7.07	Ln-preferring
NZ_JAENXS010000001_1_33_iptm0_972_s0	35	-1024.213529	-1670.266825	-992.756251	-76.428549	+7.07	Ln-preferring
Q0RS34_frankia	32	-985.035433	-1631.088777	-953.558457	-76.428549	+7.04	Ln-preferring
NZ_FRXO01000001_1_34_iptm0_948_s0	25	-756.414559	-1402.468046	-725.007617	-76.428549	+6.95	Ln-preferring
NZ_JADPJG010000023_1_42_iptm0_966_s0	34	-965.475515	-1611.529020	-934.003813	-76.428549	+6.93	Ln-preferring
NZ_JADPKT010000084_1_241_iptm0_971_s0	35	-1024.251039	-1670.304553	-992.796371	-76.428549	+6.93	Ln-preferring
A0A2I2L1I7_frankia	34	-881.414251	-1527.467786	-849.997767	-76.428549	+6.92	Ln-preferring
D3F5Q0_conexibacter	19	-603.042308	-1249.095888	-571.642298	-76.428549	+6.89	Ln-preferring
NZ_LUUB01000038_1_94_iptm0_973_s0	35	-1024.188596	-1670.242190	-992.728579	-76.428549	+6.88	Ln-preferring
NZ_NWTG01000021_1_16_iptm0_970_s0	35	-1024.260621	-1670.314262	-992.801022	-76.428549	+6.85	Ln-preferring
NZ_LMMW01000023_1_239_iptm0_958_s0	38	-1063.534840	-1709.588536	-1032.080657	-76.428549	+6.81	Ln-preferring
NZ_NAEX01000176_1_125_iptm0_972_s0	35	-1024.213266	-1670.267000	-992.760268	-76.428549	+6.79	Ln-preferring
NZ_CP050022_2_5499_iptm0_973_s0	35	-1024.258042	-1670.311816	-992.801376	-76.428549	+6.77	Ln-preferring
NZ_DF820425_1_6126_iptm0_973_s0	34	-965.560877	-1611.614667	-934.082515	-76.428549	+6.76	Ln-preferring
NZ_JADPKA010000066_1_196_iptm0_965_s0	34	-965.384451	-1611.438249	-933.917296	-76.428549	+6.75	Ln-preferring
NZ_LVEM01000003_1_376_iptm0_971_s0	35	-1024.276886	-1670.330782	-992.818956	-76.428549	+6.69	Ln-preferring
03_Euk_a0a5n6pfi5_domain2chaina-pqq-la_model	58	-2210.092257	-2856.146194	-2178.555921	-76.428549	+6.66	Ln-preferring
marcobetar_NZ_CP019948	25	-756.394973	-1402.448943	-724.942480	-76.428549	+6.64	Ln-preferring
NZ_CP088008_1_3919_iptm0_990_s0	22	-717.172361	-1363.226334	-685.729175	-76.428549	+6.64	Ln-preferring
NZ_JACIDR010000005_1_26_iptm0_932_s0	18	-527.774927	-1173.828908	-496.404313	-76.428549	+6.64	Ln-preferring
03_Euk_a0a8t0grr4_domain1chaina-pqq-la_model	58	-2210.189988	-2856.243992	-2178.673672	-76.428549	+6.62	Ln-preferring
NZ_VKHP01000184_1_20_iptm0_970_s0	34	-965.526988	-1611.581000	-934.053144	-76.428549	+6.62	Ln-preferring
NZ_SPQT01000017_1_104_iptm0_863_s0	21	-567.065824	-1213.119850	-535.706505	-76.428549	+6.61	Ln-preferring
NZ_CP019948_1_943_iptm0_969_s0	25	-756.396656	-1402.450706	-724.944451	-76.428549	+6.59	Ln-preferring
NZ_CP030048_1_2139_iptm0_972_s0	35	-1024.254013	-1670.308078	-992.799433	-76.428549	+6.58	Ln-preferring
NZ_LJYE01000109_1_170_iptm0_975_s0	35	-1024.263974	-1670.318112	-992.804944	-76.428549	+6.54	Ln-preferring
NZ_PSRR01000126_1_2_iptm0_981_s0	34	-965.483424	-1611.537601	-934.003255	-76.428549	+6.51	Ln-preferring
NZ_LGHK01000016_1_47_iptm0_968_s0	34	-965.386966	-1611.441170	-933.913520	-76.428549	+6.50	Ln-preferring
NZ_CABFPH010000154_1_5_iptm0_953_s0	38	-1063.555760	-1709.610015	-1032.105612	-76.428549	+6.46	Ln-preferring
NZ_VLLA01000010_1_77_iptm0_964_s0	34	-965.579768	-1611.634028	-934.105950	-76.428549	+6.46	Ln-preferring
A0A7V4XSM2_acidobacterium	22	-717.155475	-1363.209745	-685.722781	-76.428549	+6.45	Ln-preferring
03_Euk_a0a6p6tc78_domain1chaina-pqq-la_model	58	-2210.206981	-2856.261291	-2178.673959	-76.428549	+6.43	Ln-preferring
NZ_JYMT01000035_1_133_iptm0_973_s0	35	-1024.264218	-1670.318591	-992.806433	-76.428549	+6.39	Ln-preferring
NC_011894_1_4113_iptm0_950_s0	28	-795.443960	-1441.498408	-764.018748	-76.428549	+6.34	Ln-preferring
03_Euk_m1c559_domain2chaina-pqq-la_model	58	-2210.279885	-2856.334341	-2178.742169	-76.428549	+6.34	Ln-preferring
A0A840IIQ0_conexibacter	22	-717.131509	-1363.186168	-685.680729	-76.428549	+6.21	Ln-preferring
droideka_siteG	29	-945.706190	-1591.760871	-914.310274	-76.428549	+6.20	Ln-preferring
NZ_BPQD01000033_1_15_iptm0_955_s0	38	-1063.588714	-1709.643481	-1032.132017	-76.428549	+6.14	Ln-preferring
NZ_LFJB01000074_1_16_iptm0_971_s0	35	-1024.267833	-1670.322663	-992.811557	-76.428549	+6.10	Ln-preferring
03_Euk_a0a2j6pxr2_domain1chaina-pqq-la_model	58	-2210.160160	-2856.214993	-2178.633718	-76.428549	+6.10	Ln-preferring
marco_akiy_44	35	-1024.274298	-1670.329293	-992.816938	-76.428549	+6.00	Ln-preferring
NZ_JAEMSD010000177_1_9_iptm0_979_s0	34	-965.578807	-1611.633833	-934.104149	-76.428549	+5.98	Ln-preferring
A0A177LXK6_methylomonas	33	-985.402381	-1631.457419	-953.941714	-76.428549	+5.97	Ln-preferring
NZ_AKIY01000241_1_44_iptm0_972_s0	35	-1024.268372	-1670.323431	-992.811269	-76.428549	+5.96	Ln-preferring
NZ_LGTB01000020_1_120_iptm0_973_s0	35	-1024.268680	-1670.323944	-992.810339	-76.428549	+5.83	Ln-preferring
NZ_LFIP02000003_1_591_iptm0_970_s0	34	-965.601130	-1611.656444	-934.128383	-76.428549	+5.80	Ln-preferring
NZ_JACOFQ010000002_1_208_iptm0_972_s0	35	-1024.260662	-1670.315993	-992.805565	-76.428549	+5.79	Ln-preferring
A0A0X3X434_actinobacteriota	29	-945.731365	-1591.786735	-914.247238	-76.428549	+5.76	Ln-preferring
NZ_JAGKJJ010000005_1_245_iptm0_968_s0	34	-965.584008	-1611.639428	-934.115862	-76.428549	+5.73	Ln-preferring
fnwz_175_k05358	22	-717.143345	-1363.198795	-685.723945	-76.428549	+5.71	Ln-preferring
NZ_JAFCKH010000001_1_764_iptm0_973_s0	35	-1024.273636	-1670.329104	-992.817161	-76.428549	+5.70	Ln-preferring
NZ_AXAB01000036_1_46_iptm0_972_s0	35	-1024.259712	-1670.315205	-992.803561	-76.428549	+5.69	Ln-preferring
03_Euk_d8qqu8_domain1chaina-pqq-la_model	58	-2210.238905	-2856.294448	-2178.720857	-76.428549	+5.66	Ln-preferring
NZ_SPQU01000007_1_114_iptm0_972_s0	35	-1024.250500	-1670.306047	-992.790491	-76.428549	+5.65	Ln-preferring
NZ_VSSS01000011_1_43_iptm0_972_s0	35	-1024.269734	-1670.325287	-992.813013	-76.428549	+5.65	Ln-preferring
NZ_CP041656_2_2072_iptm0_973_s0	35	-1024.268654	-1670.324216	-992.812959	-76.428549	+5.64	Ln-preferring
NZ_JAFCKT010000017_1_34_iptm0_973_s0	35	-1024.254429	-1670.310036	-992.796281	-76.428549	+5.61	Ln-preferring
NZ_JAIRDQ010000001_1_955_iptm0_972_s0	35	-1024.268390	-1670.324029	-992.812591	-76.428549	+5.59	Ln-preferring
marco_NZ_CP019948_1_943_BradyrhizUnnamed	25	-756.282818	-1402.338461	-724.835344	-76.428549	+5.59	Ln-preferring
A0A840IH94_conexibacter	31	-834.983854	-1481.039516	-803.527331	-76.428549	+5.58	Ln-preferring
NZ_FNWZ01000001_1_175_iptm0_986_rank0	22	-717.098160	-1363.153837	-685.679285	-76.428549	+5.57	Ln-preferring
NZ_AKIY01000241_1_48_iptm0_968_s0	34	-965.578045	-1611.633906	-934.111425	-76.428549	+5.46	Ln-preferring
droideka_siteD	29	-945.714406	-1591.770281	-914.310155	-76.428549	+5.45	Ln-preferring
NZ_JADIJP010000010_1_134_iptm0_933_s0	18	-527.788251	-1173.844144	-496.409584	-76.428549	+5.44	Ln-preferring
marco_NZ_BSOX01000478_1_25_BliaoNingense	35	-1024.264114	-1670.320011	-992.805545	-76.428549	+5.43	Ln-preferring
marco_bsox_25	35	-1024.273297	-1670.329198	-992.814723	-76.428549	+5.43	Ln-preferring
03_Euk_a0aae0n4q6_domain1chaina-pqq-la_model	55	-2170.926514	-2816.982459	-2139.398453	-76.428549	+5.40	Ln-preferring
NZ_FRXO01000001_1_45_iptm0_975_s0	25	-756.464283	-1402.520288	-724.995914	-76.428549	+5.37	Ln-preferring
NZ_BSOX01000478_1_25_iptm0_972_s0	35	-1024.277512	-1670.333519	-992.819281	-76.428549	+5.36	Ln-preferring
NZ_NWTI01000013_1_163_iptm0_973_s0	35	-1024.215999	-1670.272014	-992.759486	-76.428549	+5.36	Ln-preferring
marco_NZ_AKIY01000241_1_44_BradyrhizSp000282615	35	-1024.246482	-1670.302564	-992.792205	-76.428549	+5.32	Ln-preferring
NZ_JAKSXW010000143_1_234_iptm0_950_s0	28	-795.705046	-1441.761130	-764.293486	-76.428549	+5.32	Ln-preferring
D3F9M6_conexibacter	22	-717.164862	-1363.220956	-685.722372	-76.428549	+5.31	Ln-preferring
A0A117QAN9_actinobacteriota	15	-488.422744	-1134.478839	-457.056862	-76.428549	+5.31	Ln-preferring
03_Euk_a0a836bz88_domain1chaina-pqq-la_model	58	-2210.153284	-2856.209417	-2178.629035	-76.428549	+5.29	Ln-preferring
lanm_fusion_sample_0	32	-985.048051	-1631.104200	-953.540588	-76.428549	+5.27	Ln-preferring
NZ_JAFCJI010000002_1_216_iptm0_985_s0	34	-965.581155	-1611.637348	-934.106161	-76.428549	+5.25	Ln-preferring
NZ_VSSS01000011_1_45_iptm0_869_s0	21	-567.049297	-1213.105492	-535.700494	-76.428549	+5.25	Ln-preferring
NZ_CP044543_1_5013_iptm0_973_s0	35	-1024.265168	-1670.321363	-992.811366	-76.428549	+5.25	Ln-preferring
NZ_JADYVS010000003_1_85_iptm0_975_s0	34	-965.503927	-1611.560136	-934.026025	-76.428549	+5.24	Ln-preferring
NZ_AXAZ01000036_1_49_iptm0_966_s0	34	-965.580381	-1611.636667	-934.109479	-76.428549	+5.19	Ln-preferring
V5SHV5_hyphomicrobium	15	-488.525648	-1134.581955	-457.147176	-76.428549	+5.18	Ln-preferring
A0A423URV2_actinobacteriota	15	-488.526251	-1134.582582	-457.144319	-76.428549	+5.16	Ln-preferring
NZ_JACVBB010000003_1_440_iptm0_966_s0	32	-985.014251	-1631.070588	-953.558770	-76.428549	+5.16	Ln-preferring
C1F6W0_acidobacterium	18	-527.799437	-1173.855821	-496.439454	-76.428549	+5.13	Ln-preferring
A0A6M4ISD1_gemmatimonadota	44	-1249.965215	-1896.021632	-1218.455347	-76.428549	+5.11	Ln-preferring
03_Euk_a0a8t2u0h1_domain1chaina-pqq-la_model	58	-2210.265383	-2856.321937	-2178.732322	-76.428549	+5.02	Ln-preferring
A9B3Q3_methylosinus	27	-736.920818	-1382.977441	-705.517544	-76.428549	+4.98	marginal
NZ_JAFCJI010000002_1_211_iptm0_967_s0	34	-965.535630	-1611.592257	-934.066791	-76.428549	+4.97	marginal
NZ_JACOFQ010000002_1_212_iptm0_965_s0	34	-965.580383	-1611.637038	-934.113376	-76.428549	+4.96	marginal
NZ_JAFCJI010000002_1_206_iptm0_972_s0	35	-1024.265074	-1670.321757	-992.808668	-76.428549	+4.94	marginal
NZ_JAFCLG010000004_1_233_iptm0_973_s0	35	-1024.264351	-1670.321045	-992.806801	-76.428549	+4.93	marginal
A0A652YVF2_actinobacteriota	15	-488.479877	-1134.536578	-457.139782	-76.428549	+4.93	marginal
duf2950_sample_2	32	-985.068998	-1631.125744	-953.566678	-76.428549	+4.90	marginal
NZ_JALBHA010000014_1_13_iptm0_974_s0	35	-1024.264156	-1670.320946	-992.810497	-76.428549	+4.87	marginal
A0A4S5EUS3_frankia	22	-717.156906	-1363.213707	-685.719229	-76.428549	+4.87	marginal
PQAN01000398_1_5_iptm0_904_s0	31	-834.987610	-1481.044454	-803.574520	-76.428549	+4.84	marginal
NZ_NPKS01000005_1_84_iptm0_954_s0	28	-795.712534	-1441.769383	-764.296859	-76.428549	+4.84	marginal
A9B3Q4_methylosinus	15	-488.533388	-1134.590272	-457.150601	-76.428549	+4.81	marginal
NZ_JADPKS010000078_1_52_iptm0_972_s0	35	-1024.276955	-1670.333842	-992.825306	-76.428549	+4.81	marginal
NZ_JAFCJN010000019_1_119_iptm0_970_s0	34	-965.563134	-1611.620027	-934.094625	-76.428549	+4.81	marginal
NZ_JADPKY010000131_1_45_iptm0_966_s0	34	-965.532982	-1611.589913	-934.063842	-76.428549	+4.78	marginal
NZ_JAPRAQ010000023_1_89_iptm0_971_s0	35	-1024.253066	-1670.310010	-992.797299	-76.428549	+4.78	marginal
NZ_JABWGX010000007_1_40_iptm0_966_s0	40	-1044.159864	-1690.216826	-1012.673188	-76.428549	+4.77	marginal
NZ_JAHBGE010000013_1_22_iptm0_989_s0	22	-717.157117	-1363.214252	-685.705161	-76.428549	+4.66	marginal
NZ_JAKLTY010000003_1_166_iptm0_973_s0	35	-1024.265085	-1670.322247	-992.809226	-76.428549	+4.64	marginal
C5CDZ8_bryobacter	29	-945.606725	-1591.663928	-914.125734	-76.428549	+4.61	marginal
NZ_LBJC01000027_1_113_iptm0_967_s0	34	-965.461592	-1611.518899	-933.991519	-76.428549	+4.55	marginal
NZ_JACOFR010000032_1_41_iptm0_973_s0	35	-1023.992973	-1670.050289	-992.539334	-76.428549	+4.54	marginal
NZ_NFUH01000230_1_33_iptm0_965_s0	34	-965.467014	-1611.524393	-933.982955	-76.428549	+4.50	marginal
NZ_VSSR01000081_1_73_iptm0_970_s0	35	-1024.260624	-1670.318121	-992.806006	-76.428549	+4.43	marginal
03_Euk_a0a9w8ju44_domain1chaina-pqq-la_model	25	-756.445360	-1402.502887	-724.975575	-76.428549	+4.41	marginal
A0A937UPX2_frankia	15	-488.534869	-1134.592457	-457.148796	-76.428549	+4.37	marginal
NZ_JACIDN010000003_1_562_iptm0_905_s0	41	-1102.771848	-1748.829480	-1071.351600	-76.428549	+4.34	marginal
NZ_JADPJH010000028_1_311_iptm0_973_s0	35	-1024.113289	-1670.170950	-992.659300	-76.428549	+4.33	marginal
Q0RI34_frankia	18	-527.790778	-1173.848496	-496.390103	-76.428549	+4.29	marginal
NZ_JXDL01000001_1_6573_iptm0_985_s0	34	-965.421108	-1611.478894	-933.947339	-76.428549	+4.25	marginal
NZ_JAFCJT010000030_1_18_iptm0_973_s0	35	-1024.269165	-1670.326985	-992.813469	-76.428549	+4.23	marginal
A0A7V4XU78_acidobacterium	26	-831.657041	-1477.714876	-800.204470	-76.428549	+4.22	marginal
NZ_LGTB01000020_1_126_iptm0_968_s0	34	-965.520369	-1611.578214	-934.047749	-76.428549	+4.21	marginal
NZ_LFIP02000003_1_596_iptm0_973_s0	35	-1024.084577	-1670.142465	-992.636082	-76.428549	+4.18	marginal
NZ_JALKCH010000004_1_139_iptm0_987_s0	22	-717.149689	-1363.207577	-685.698514	-76.428549	+4.18	marginal
A0A7V4XUJ1_acidobacterium	15	-488.502546	-1134.560492	-457.137863	-76.428549	+4.15	marginal
NC_004463_1_6343_iptm0_970_s0	35	-1024.266968	-1670.324924	-992.813277	-76.428549	+4.14	marginal
03_Euk_a0aaf6asa6_domain1chaina-pqq-la_model	58	-2210.248318	-2856.306334	-2178.718089	-76.428549	+4.10	marginal
NZ_LWIG01000012_1_220_iptm0_969_s0	35	-1024.265843	-1670.323907	-992.810338	-76.428549	+4.07	marginal
NZ_JADPJG010000023_1_38_iptm0_972_s0	35	-1024.260206	-1670.318431	-992.807484	-76.428549	+3.97	marginal
NZ_JACOFR010000032_1_45_iptm0_968_s0	34	-965.600177	-1611.658428	-934.132650	-76.428549	+3.96	marginal
A0A226Q9Q8_acidithiobacillus	41	-1194.162233	-1840.220510	-1162.644053	-76.428549	+3.94	marginal
C5CFF8_bryobacter	18	-527.782822	-1173.841125	-496.437753	-76.428549	+3.92	marginal
NZ_CP036533_1_6383_iptm0_970_s0	35	-1024.242257	-1670.300564	-992.787562	-76.428549	+3.92	marginal
FSRD01000002_1_1036_iptm0_956_s0	15	-488.495459	-1134.553786	-457.142321	-76.428549	+3.91	marginal
Q0RDQ7_frankia	26	-803.776436	-1449.834769	-772.394664	-76.428549	+3.90	marginal
A0A6I3KGC3_hyphomicrobium	15	-488.514671	-1134.573072	-457.140964	-76.428549	+3.86	marginal
D7DLJ3_methylotenera	43	-1269.616349	-1915.674766	-1238.124470	-76.428549	+3.85	marginal
NZ_AXAY01000027_1_105_iptm0_974_s0	35	-1024.241236	-1670.299675	-992.792467	-76.428549	+3.84	marginal
NZ_JYMR01000056_1_200_iptm0_964_s0	34	-965.595502	-1611.654019	-934.125079	-76.428549	+3.79	marginal
NZ_VIDV02000143_1_74_iptm0_845_s0	21	-567.060594	-1213.119149	-535.711345	-76.428549	+3.77	marginal
NZ_JAEMSD010000177_1_14_iptm0_972_s0	35	-1024.259703	-1670.318372	-992.808313	-76.428549	+3.69	marginal
C1F6H3_acidobacterium	26	-831.636584	-1477.695272	-800.181879	-76.428549	+3.68	marginal
NZ_VAUP01000037_1_177_iptm0_834_s0	28	-795.675037	-1441.733727	-764.269936	-76.428549	+3.68	marginal
NZ_QOWC01000017_1_3_iptm0_948_s0	28	-795.520635	-1441.579358	-764.107547	-76.428549	+3.66	marginal
NZ_CM001442_1_5504_iptm0_960_s0	34	-965.458187	-1611.516933	-933.991974	-76.428549	+3.65	marginal
NZ_CP067100_1_2550_iptm0_964_s0	34	-965.583842	-1611.642671	-934.113086	-76.428549	+3.59	marginal
03_Euk_a0a7r9lay7_domain3chaina-pqq-la_model	46	-1961.777794	-2607.836662	-1930.298900	-76.428549	+3.57	marginal
NZ_JACCHP010000004_1_185_iptm0_972_s0	35	-1024.263773	-1670.322663	-992.810568	-76.428549	+3.56	marginal
03_Euk_a0aad4p928_domain1chaina-pqq-la_model	58	-2210.094198	-2856.153091	-2178.584428	-76.428549	+3.55	marginal
03_Euk_a0a6a6xtm4_domain1chaina-pqq-la_model	49	-2001.098903	-2647.157820	-1969.604861	-76.428549	+3.54	marginal
A0A098Y4Q2_modestobacter	15	-488.533153	-1134.592129	-457.147454	-76.428549	+3.50	marginal
NZ_SPQS01000001_1_284_iptm0_971_s0	35	-1024.265036	-1670.324020	-992.813823	-76.428549	+3.50	marginal
A0A4S5ESJ0_frankia	15	-488.526012	-1134.585008	-457.138039	-76.428549	+3.49	marginal
C1F2R0_acidobacterium	25	-756.452039	-1402.511051	-724.989848	-76.428549	+3.48	marginal
NZ_JAFCKP010000020_1_56_iptm0_972_s0	35	-1024.224509	-1670.283550	-992.767494	-76.428549	+3.46	marginal
NZ_CM145189_1_6600_iptm0_968_s0	34	-965.598609	-1611.657653	-934.126806	-76.428549	+3.46	marginal
NZ_MKFI01000001_1_1473_iptm0_972_s0	35	-1024.263997	-1670.323060	-992.810417	-76.428549	+3.45	marginal
